EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010840366,ELDORADO CHILDRENS THEATRE,% ELISE A LINCOLN,13 MELADO DR,SANTA FE,NM,87508-2255,0000,03,3,1000,200511,1,16,000000000,1,01,202506,0,0,02,0,06,0.0,0.0,0.0,A65,
010848334,THE STORYDANCER PROJECT INC,% CHARA NELSON,369 MONTEZUMA AVE 490,SANTA FE,NM,87501-2835,0000,03,3,1000,200603,1,15,000000000,1,01,202412,3,4,01,0,12,77135.0,133056.0,133056.0,A99,
010870795,SMOKIN BACHI TAIKO INC,% BRIAN VALINSKI,1000 CORDOVA PLACE BOX 327,SANTA FE,NM,87505-1725,0000,03,3,2000,201106,1,16,000000000,1,01,202601,0,0,02,0,01,0.0,0.0,0.0,A20,
030368193,ANDEAN TEXTILE ARTS INC,% LES ISHIKAWA TREASURER,PMB 428 7 AVENIDA VISTA GRANDE B-7,SANTA FE,NM,87508-9207,0000,03,3,1000,200109,1,15,000000000,1,01,202512,4,3,01,0,12,153888.0,98385.0,98385.0,A20,
030523638,FRIENDS OF CORONADO STATE MONUMENT INC KUAUA PUEBLO,% TIMOTHY S LONG,485 KUAVA ST,BERNALILLO,NM,87004-7099,0000,03,3,1000,200404,1,15,000000000,1,01,202412,4,4,01,0,12,132186.0,139428.0,62986.0,A80,
030550727,LULLABY PROJECT INC,% ANITA NUGENT,7 JESUS GONZALES RD,GLORIETA,NM,87535-7014,0000,03,3,1000,200502,1,16,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A68,
030553921,METAMORFOSIS DOCUMENTATION PROJECT INC,,6 CAMINO DEL SOL,SANTA FE,NM,87508-8146,0000,03,3,1000,200503,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A31,
043184969,PRINCIPLES OF KNOWLEDGE REPRESENTATION & REASONING INC,% CAO SON TRAN,PO BOX 30001,LAS CRUCES,NM,88003-8001,0000,03,3,1000,199306,1,04,995124125,1,01,202412,3,3,00,1,12,94696.0,52964.0,,A70Z,
043766680,AFRICAN AMERICAN MUSEUM & CULTURAL CENTER OF NEW MEXICO,% RITA A POWDRELL,5209 4TH ST NW,ALBUQUERQUE,NM,87107-5102,0000,03,3,1200,200503,1,15,000000000,1,01,202412,2,1,02,0,12,17566.0,2374.0,2374.0,A50,
113740301,ST ANDREW SCOTTISH SOCIETY OF NEW MEXICO,% JOHN GLYNN TREASURER,PO BOX 27288,ALBUQUERQUE,NM,87125-7288,0000,03,3,1000,200903,1,16,000000000,1,01,202603,0,0,02,0,03,0.0,0.0,0.0,A23,
113749834,LIVING LABYRINTHS FOR PEACE INC,% SANDRA WASKO-FLOOD,PO BOX 406,ANGEL FIRE,NM,87710-0406,0000,03,3,1000,200702,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A20,LLP
113794458,TURQUOISE TRAIL PRESERVATION TRUST,% TONI OLSON,1365 STATE ROAD 344,SANDIA PARK,NM,87047-9631,0000,03,3,1200,200709,1,16,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A80,
133528799,OASIS THEATRE COMPANY INC,% JAMES JENNER,PO BOX 1242,ABIQUIU,NM,87510-1242,0000,03,3,2000,199105,1,15,088000000,1,01,202506,0,0,02,0,06,0.0,0.0,0.0,A650,
133897031,CONWAY & PRATT PROJECTS INC,,198A COUNTY ROAD 84,SANTA FE,NM,87506-2781,0000,03,3,2000,199702,1,15,090119000,1,01,202506,0,0,02,0,06,0.0,0.0,0.0,A600,
134216672,NEW MEXICO GOURD SOCIETY,% ANN REILLY,10512 VECCHIO DR NW,ALBUQUERQUE,NM,87114-4790,0000,03,3,1200,200304,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A25,
134231628,ELDORADO ARTS AND CRAFTS ASSOCIATION,% KRIS PALEK,7 AVENIDA VISTA GRANDE B-7 PMB 261,SANTA FE,NM,87508-9207,0000,04,3,3000,200306,2,00,000000000,1,01,202412,2,3,01,0,12,21565.0,69334.0,69334.0,A20,
136161708,MILLICENT ROGERS MUSEUM INC,% JONNALYNN MANDELBAUM,PO BOX 1210,TAOS,NM,87571-1210,0000,03,3,1000,197907,1,15,000000000,5,01,202412,6,5,01,0,12,2136156.0,874585.0,874585.0,A500,
141974492,FRIENDS OF DH LAWRENCE,% PAM BRODY,1267 MESA VISTA RD,EL PRADO,NM,87529-7436,0000,03,3,1200,200612,1,15,000000000,1,01,202506,0,0,02,0,06,0.0,0.0,0.0,A12,
141997383,RADIUS BOOKS INC,% DAVID CHICKEY,227 E PALACE AVE STE W,SANTA FE,NM,87501-2043,0000,03,3,1000,200910,1,15,000000000,1,01,202412,6,6,01,0,12,4547202.0,2488108.0,1563107.0,A33,
200044532,SOCORRO AMATEUR RADIO ASSOCIATION,% JAMES LOMMEN,800 BUFORD DR,SOCORRO,NM,87801-4024,0000,03,3,1000,200610,1,16,000000000,1,01,202505,0,0,02,0,05,0.0,0.0,0.0,A34,
200438447,JOURNEYS IN FILM,% JOANNE S ASHE,50 SANDIA LN,PLACITAS,NM,87043-9202,0000,03,3,2000,200406,1,16,000000000,1,01,202512,3,4,01,0,12,76642.0,129250.0,129250.0,A31,
200694500,CENTER FOR PHOTOGRAPHIC HISTORY AND TECHNOLOGY,% BOSTICK & SULLIVAN,1541 CENTER DR,SANTA FE,NM,87507-9743,0000,03,3,2000,200506,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A40,
200879484,MINOR HERON INCORPORATED,% ANNE MACNAUGHTON,512 CAMINO SAN MIGUEL,TAOS,NM,87571-4394,0000,03,3,2000,200509,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A70,MINOR HERON PRESS
201155469,4 ARTS PRODUCTIONS INC,% GEORGE H JARDEN JR,PO BOX 550,LAS CRUCES,NM,88004-0550,0000,03,3,1200,200411,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A60,
201462329,METTA THEATRE,% BRUCE MCINTOSH,PO BOX 56,EL PRADO,NM,87529-0056,0000,03,3,1000,200608,1,15,000000000,1,01,202412,0,0,02,0,12,0.0,0.0,0.0,A65,
201480842,LINCOLN COUNTY COMMUNITY THEATRE INC,% LEA KEYLON,108 SULKEY,NOGAL,NM,88341-9532,0000,03,3,1200,201811,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A60,
201505972,PANDEMONIUM PRODUCTIONS INC,% NANCY SMITH LESLIE,6532 CAMINO ROJO,SANTA FE,NM,87507-3291,0000,03,3,2000,200505,1,11,000000000,1,01,202412,1,3,01,0,12,1.0,66396.0,66396.0,A65,
201892142,THE PARTNERSHIP FOR ARTS IN,% WILLIAM BECKELHIMER,1904 DARTMOUTH DR NE,ALBUQUERQUE,NM,87106-1717,0000,03,3,1200,202401,1,15,000000000,1,01,202407,0,0,02,0,07,0.0,0.0,0.0,A99,
201923264,FIRST BI-LINGUAL CHRISTIAN MINISTERIAL ASSOCIATION,% RAYMOND PADILLA,1600 N SAN MATEO ST,HOBBS,NM,88240-3637,0000,03,3,2700,201905,1,04,000000000,1,01,202412,1,1,00,1,12,1481.0,3240.0,,A34,
202263522,NEW MEXICO EUSKAL ETXEA,% BLAS UBERUAGA,PO BOX 31836,SANTA FE,NM,87594-1836,0000,03,3,2000,200610,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A23,
202268814,SOUTHWEST MODEL RAILROAD MUSEUM,% JAMES MCKELVEY,118 S SECOND ST,BELEN,NM,87002-4307,0000,03,3,1000,200608,1,16,000000000,5,01,202503,0,0,02,0,03,0.0,0.0,0.0,A80,
202297885,JAL HISTORICAL SOCIETY & MUSEUM INCORPORATED,% BRIAN NORWOOD,PO BOX 1206,JAL,NM,88252-1206,0000,03,3,2000,200602,1,15,000000000,1,01,202512,0,0,02,0,12,0.0,0.0,0.0,A54,
202457936,CREATIVE SANTA FE,% CLARK HULSE,PO BOX 2388,SANTA FE,NM,87504-2388,0000,03,3,1000,200601,1,15,000000000,1,01,202412,4,5,01,0,12,104751.0,560299.0,475878.0,A20,
