fein,org_name,tax_year,financial_resilience,governance_risk,program_scale,overall_health,earned_income_pct,reserve_months,liabilities_ratio,comp_to_revenue_pct,program_expense_pct,tier
850284938,"Professional Music Teachers of New Mexico, Inc",2014,70,40.0,35,50.8,34.3,45.7,,6.3,72.3,AT-RISK
850284938,"Professional Music Teachers of New Mexico, Inc",2015,55,32.5,25,39.6,12.0,43.7,,13.9,65.8,CRITICAL
850284938,"Professional Music Teachers of New Mexico, Inc",2016,55,32.5,25,39.6,12.0,43.7,,13.9,65.8,CRITICAL
850284938,"Professional Music Teachers of New Mexico, Inc",2016,55,32.5,25,39.6,12.0,43.7,,13.9,65.8,CRITICAL
850284938,"Professional Music Teachers of New Mexico, Inc",2017,55,37.5,35,43.9,22.6,38.4,,11.2,77.2,CRITICAL
850284938,"Professional Music Teachers of New Mexico, Inc",2018,55,45.0,35,46.5,18.5,35.7,,9.3,78.3,AT-RISK
850284938,"Professional Music Teachers of New Mexico, Inc",2019,55,32.5,25,39.6,24.5,41.9,,13.7,68.7,CRITICAL
850284938,"Professional Music Teachers of New Mexico, Inc",2020,55,10.0,5,26.8,12.7,105.9,,16.7,40.6,CRITICAL
850284938,"Professional Music Teachers of New Mexico, Inc",2021,70,22.5,15,39.6,40.3,66.6,,12.7,55.0,CRITICAL
850284938,"Professional Music Teachers of New Mexico, Inc",2022,45,15.0,15,27.0,6.6,45.2,,15.3,59.6,CRITICAL
850284938,"Professional Music Teachers of New Mexico, Inc",2023,55,32.5,35,42.1,11.7,48.1,,11.1,72.7,CRITICAL
850284938,"Professional Music Teachers of New Mexico, Inc",2024,45,15.0,15,27.0,,80.2,,24.6,53.1,CRITICAL
